plantMASST	NCBI_Genome	Transcriptome
Bergenia crassifolia	Paraleonurus japonicus	Bergenia crassifolia
Croton aff. incanus BWvE-2008	Zostera marina	Dracocephalum officinale
Paraleonurus japonicus	Ziziphus jujuba	Paraleonurus japonicus
Mentha x piperita	Zizania palustris	Mentha x piperita
Pistacia terebinthus	Zingiber zerumbet	Zostera marina
Rosa x centifolia	Zingiber officinale	Ziziphus mauritiana
Zostera marina	Zea mays	Ziziphus jujuba
Zornia bracteata	Zanthoxylum bungeanum	Zizania palustris
Ziziphus rugosa	Xerosicyos pubescens	Zinnia haageana
Ziziphus oenopolia	Xerosicyos perrieri	Zinnia elegans
Ziziphus mauritiana	Xanthoceras sorbifolium	Zingiber zerumbet
Ziziphus jujuba	Wurfbainia villosa	Zingiber officinale
Ziziphus incurva	Wollemia nobilis	Zea mays
Ziziphus horsfieldii	Withania somnifera	Zanthoxylum schinifolium
Ziziphus cambodianus	Welwitschia mirabilis	Zanthoxylum bungeanum
Ziziphus attopensis	Vitis vinifera	Zanthoxylum austrosinense
Ziziphus apetala	Vitis rotundifolia	Zamioculcas zamiifolia
Zizania palustris	Vitis riparia	Zamia pumila
Zinnia haageana	Vitis labrusca	Yucca filamentosa
Zinnia elegans	Viscum album	Ximenia americana
Zingiber zerumbet	Viola tricolor	Xerosicyos pubescens
Zingiber ottensii	Vinca minor	Xerosicyos perrieri
Zingiber officinale	Vigna unguiculata	Xerosicyos danguyi
Zingiber montanum	Vigna umbellata	Xerophyta schlechteri
Zelkova sinica	Vigna radiata	Xeronema callistemon
Zea mays	Vigna mungo	Xanthoceras sorbifolium
Zanthoxylum schinifolium	Vigna angularis	Xanthium strumarium
Zanthoxylum rhoifolium	Vicia villosa	Wurfbainia villosa
Zanthoxylum rhetsum	Vicia faba	Wollemia nobilis
Zanthoxylum piperitum	Viburnum tinus	Withania somnifera
Zanthoxylum fagara	Veronica spicata	Wisteria sinensis
Zanthoxylum bungeanum	Verbena officinalis	Wikstroemia indica
Zanthoxylum austrosinense	Verbascum thapsus	Welwitschia mirabilis
Zanthoxylum americanum	Verbascum nigrum	Weigela florida
Zanthoxylum acanthopodium	Vanilla planifolia	Vitis vinifera
Zanha golungensis	Vaccinium macrocarpon	Vitis rotundifolia
Zamioculcas zamiifolia	Vaccinium darrowii	Vitis riparia
Zamia pumila	Vaccinium corymbosum	Vitis labrusca
Yucca filamentosa	Vaccinium bracteatum	Vitex agnus-castus
Xylopia macrantha	Urtica dioica	Viscum coloratum
Xylopia frutescens	Ulmus parvifolia	Viscum album
Xylopia benthamii	Ulmus americana	Viola tricolor
Xylia xylocarpa	Typha latifolia	Viola mandshurica
